2003 [Test worker] INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
3073 [Test worker] INFO  tests.TestBase - Test name ----->addNewContactSuccess
3074 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //button[text()='Sign Out']
8128 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //button[text()='Sign Out'] was found
8129 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: a[href='/login']
8148 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: a[href='/login'] was found
8225 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //input[1]
8256 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //input[1] was found
8394 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //input[2]
8415 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //input[2] was found
8539 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.tagName: button
8561 [Test worker] INFO  manager.MyListener - The element with locator ---->By.tagName: button was found
8596 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .contact-item_card__2SOIM
9353 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .contact-item_card__2SOIM was found
9354 [Test worker] INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->12
9355 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //a[normalize-space()='ADD']
9369 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //a[normalize-space()='ADD'] was found
9418 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Name']
9433 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Name'] was found
9625 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Last Name']
9667 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Last Name'] was found
9838 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Phone']
9849 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Phone'] was found
9959 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='email']
9972 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='email'] was found
10092 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Address']
10113 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Address'] was found
10224 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='description']
10238 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='description'] was found
10350 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .add_form__2rsm2 button
10364 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .add_form__2rsm2 button was found
13410 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .contact-item_card__2SOIM
13437 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .contact-item_card__2SOIM was found
13438 [Test worker] INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->13
16446 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: h2
16468 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h2 was found
16616 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: h3
16638 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h3 was found
16788 [Test worker] INFO  tests.TestBase - Test endaddNewContactSuccess
16789 [Test worker] INFO  tests.TestBase - Test name ----->addNewContactSuccess
16790 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //button[text()='Sign Out']
16807 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //button[text()='Sign Out'] was found
16807 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .contact-item_card__2SOIM
16823 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .contact-item_card__2SOIM was found
16823 [Test worker] INFO  tests.TestBase - The test 'Add new contact starts with count of contact---->13
16823 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.xpath: //a[normalize-space()='ADD']
16838 [Test worker] INFO  manager.MyListener - The element with locator ---->By.xpath: //a[normalize-space()='ADD'] was found
16870 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Name']
16887 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Name'] was found
16996 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Last Name']
17012 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Last Name'] was found
17121 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Phone']
17135 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Phone'] was found
17250 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='email']
17260 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='email'] was found
17382 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='Address']
17399 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='Address'] was found
17510 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: [placeholder='description']
17522 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: [placeholder='description'] was found
17636 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .add_form__2rsm2 button
17648 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .add_form__2rsm2 button was found
20699 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: .contact-item_card__2SOIM
20724 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: .contact-item_card__2SOIM was found
20724 [Test worker] INFO  tests.TestBase - The test 'Add new contact' ends with count of contact in the end --->14
23730 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: h2
23753 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h2 was found
23901 [Test worker] INFO  manager.MyListener - Start search element by locator ------>By.cssSelector: h3
23924 [Test worker] INFO  manager.MyListener - The element with locator ---->By.cssSelector: h3 was found
24083 [Test worker] INFO  tests.TestBase - Test endaddNewContactSuccess
